filename	scene_label
audio/airport-barcelona-203-6132-5-a.wav	airport
audio/airport-barcelona-203-6132-6-a.wav	airport
audio/airport-barcelona-203-6132-7-a.wav	airport
audio/airport-barcelona-203-6132-8-a.wav	airport
audio/airport-barcelona-203-6132-9-a.wav	airport
audio/airport-helsinki-204-6150-0-a.wav	airport
audio/airport-helsinki-204-6150-1-a.wav	airport
audio/airport-helsinki-204-6150-2-a.wav	airport
audio/airport-helsinki-204-6150-3-a.wav	airport
audio/airport-helsinki-204-6150-4-a.wav	airport
audio/airport-helsinki-204-6150-5-a.wav	airport
audio/airport-helsinki-204-6150-6-a.wav	airport
audio/airport-helsinki-204-6150-7-a.wav	airport
audio/airport-helsinki-204-6150-8-a.wav	airport
audio/airport-helsinki-204-6150-9-a.wav	airport
audio/airport-helsinki-204-6163-0-a.wav	airport
audio/airport-helsinki-204-6163-1-a.wav	airport
audio/airport-helsinki-204-6163-2-a.wav	airport
audio/airport-helsinki-204-6163-3-a.wav	airport
audio/airport-helsinki-204-6163-4-a.wav	airport
audio/airport-helsinki-204-6163-5-a.wav	airport
audio/airport-helsinki-204-6163-6-a.wav	airport
audio/airport-helsinki-204-6163-7-a.wav	airport
audio/airport-helsinki-204-6163-8-a.wav	airport
audio/airport-helsinki-204-6163-9-a.wav	airport
audio/airport-helsinki-204-6154-0-a.wav	airport
audio/airport-helsinki-204-6154-1-a.wav	airport
audio/airport-helsinki-204-6154-2-a.wav	airport
audio/airport-helsinki-204-6154-3-a.wav	airport
audio/airport-helsinki-204-6154-4-a.wav	airport
audio/airport-helsinki-204-6154-5-a.wav	airport
audio/airport-helsinki-204-6154-6-a.wav	airport
audio/airport-helsinki-204-6154-7-a.wav	airport
audio/airport-helsinki-204-6154-8-a.wav	airport
audio/airport-helsinki-204-6154-9-a.wav	airport
audio/airport-lisbon-1175-45340-0-a.wav	airport
audio/airport-lisbon-1175-45340-1-a.wav	airport
audio/airport-lisbon-1175-45340-2-a.wav	airport
audio/airport-lisbon-1175-45340-3-a.wav	airport
audio/airport-lisbon-1175-45340-4-a.wav	airport
audio/airport-lisbon-1175-45340-5-a.wav	airport
audio/airport-lisbon-1175-45340-6-a.wav	airport
audio/airport-lisbon-1175-45340-7-a.wav	airport
audio/airport-lisbon-1175-45340-8-a.wav	airport
audio/airport-lisbon-1175-45340-9-a.wav	airport
audio/airport-lisbon-1175-45362-0-a.wav	airport
audio/airport-lisbon-1175-45362-1-a.wav	airport
audio/airport-lisbon-1175-45362-2-a.wav	airport
audio/airport-lisbon-1175-45362-3-a.wav	airport
audio/airport-lisbon-1175-45362-4-a.wav	airport
audio/airport-lisbon-1175-45362-5-a.wav	airport
audio/airport-lisbon-1175-45362-6-a.wav	airport
audio/airport-lisbon-1175-45362-7-a.wav	airport
audio/airport-lisbon-1175-45362-8-a.wav	airport
audio/airport-lisbon-1175-45362-9-a.wav	airport
audio/airport-lisbon-1175-45593-0-a.wav	airport
audio/airport-lisbon-1175-45593-1-a.wav	airport
audio/airport-lisbon-1175-45593-2-a.wav	airport
audio/airport-lisbon-1175-45593-3-a.wav	airport
audio/airport-lisbon-1175-45593-4-a.wav	airport
audio/airport-lisbon-1175-45593-5-a.wav	airport
audio/airport-lisbon-1175-45593-6-a.wav	airport
audio/airport-lisbon-1175-45593-7-a.wav	airport
audio/airport-lisbon-1175-45593-8-a.wav	airport
audio/airport-lisbon-1175-45593-9-a.wav	airport
audio/airport-london-205-6221-0-a.wav	airport
audio/airport-london-205-6221-1-a.wav	airport
audio/airport-london-205-6221-2-a.wav	airport
audio/airport-london-205-6221-3-a.wav	airport
audio/airport-london-205-6221-4-a.wav	airport
audio/airport-london-205-6221-5-a.wav	airport
audio/airport-london-205-6221-6-a.wav	airport
audio/airport-london-205-6221-7-a.wav	airport
